French,Russian,Category,Subcategory
être,быть,Verbes,Top100
avoir,иметь,Verbes,Top100
faire,делать / сделать,Verbes,Top100
"dire, parler",говорить / сказать,Verbes,Top100
aller (à pied),идти / пойти,Verbes,Top100
voir,видеть / увидеть,Verbes,Top100
"savoir, connaître",знать / узнать,Verbes,Top100
pouvoir,мочь / смочь,Verbes,Top100
vouloir,хотеть / захотеть,Verbes,Top100
penser,думать / подумать,Verbes,Top100
regarder,смотреть / посмотреть,Verbes,Top100
aimer,любить / полюбить,Verbes,Top100
vivre,жить / прожить,Verbes,Top100
travailler,работать / поработать,Verbes,Top100
donner,давать / дать,Verbes,Top100
demander,спрашивать / спросить,Verbes,Top100
prendre,брать / взять,Verbes,Top100
venir,приходить / прийти,Verbes,Top100
comprendre,понимать / понять,Verbes,Top100
écrire,писать / написать,Verbes,Top100
lire,читать / прочитать,Verbes,Top100
trouver,находить / найти,Verbes,Top100
être debout,стоять / постоять,Verbes,Top100
attendre,ждать / подождать,Verbes,Top100
entendre,слышать / услышать,Verbes,Top100
être assis,сидеть / посидеть,Verbes,Top100
être couché,лежать / полежать,Verbes,Top100
dormir,спать / поспать,Verbes,Top100
manger,есть / съесть,Verbes,Top100
boire,пить / выпить,Verbes,Top100
commencer,начинать / начать,Verbes,Top100
finir,заканчивать / закончить,Verbes,Top100
ouvrir,открывать / открыть,Verbes,Top100
fermer,закрывать / закрыть,Verbes,Top100
apprendre,учиться / научиться,Verbes,Top100
enseigner,учить / выучить,Verbes,Top100
aider,помогать / помочь,Verbes,Top100
"décider, résoudre",решать / решить,Verbes,Top100
"préparer, cuisiner",готовить / приготовить,Verbes,Top100
acheter,покупать / купить,Verbes,Top100
vendre,продавать / продать,Verbes,Top100
répondre,отвечать / ответить,Verbes,Top100
payer,платить / заплатить,Verbes,Top100
expliquer,объяснять / объяснить,Verbes,Top100
montrer,показывать / показать,Verbes,Top100
raconter,рассказывать / рассказать,Verbes,Top100
jouer,играть / сыграть,Verbes,Top100
chanter,петь / спеть,Verbes,Top100
danser,танцевать / станцевать,Verbes,Top100
courir,бегать / сбегать,Verbes,Top100
nager,плавать / поплавать,Verbes,Top100
voler,летать / полетать,Verbes,Top100
aller (en véhicule),ехать / поехать,Verbes,Top100
conduire,водить / повести,Verbes,Top100
téléphoner,звонить / позвонить,Verbes,Top100
envoyer,посылать / послать,Verbes,Top100
